City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,baniachang,24.5167,91.3667,27.22,83,21,2.56,BD,1696297356
232,bamboo flat,11.7,92.7167,25.05,94,100,2.57,IN,1696297357
233,el abadia,36.2695,1.6861,24.74,54,0,1.96,DZ,1696297357
234,moshi,-3.35,37.3333,17.62,85,74,0.62,TZ,1696297357
235,daru,-9.0763,143.2092,27.4,74,65,5.2,PG,1696297357
236,undurkhaan,47.3194,110.6556,6.41,33,49,2.7,MN,1696297357
237,aksuat,48.7167,83.7,13.17,52,99,1.21,KZ,1696297357
238,urucui,-7.2294,-44.5561,28.07,26,6,1.95,BR,1696297357
239,churapcha,62.0025,132.4325,9.13,59,100,2.98,RU,1696297357
240,pontes e lacerda,-15.2261,-59.3353,28.31,47,23,0.86,BR,1696297358
241,rio grande,-32.035,-52.0986,13.86,87,36,3.97,BR,1696297358
242,brokopondo,4.75,-55.1667,27.7,75,44,4.97,SR,1696297358
243,n'zeto,-7.2312,12.8666,23.39,91,100,2.17,AO,1696297358
244,afaahiti,-17.75,-149.2833,25.93,86,65,6.17,PF,1696297358
245,nuuk,64.1835,-51.7216,4.34,75,100,1.03,GL,1696297358
246,tommot,58.9564,126.2925,1.66,92,100,3.13,RU,1696297358
247,sabang,5.8933,95.3214,27.77,76,100,8.12,ID,1696297359
248,kievka,50.2619,71.5514,9.02,67,99,5.29,KZ,1696297359
249,lagdo,9.05,13.7333,22.78,95,100,1.46,CM,1696297359
250,nova sintra,14.8667,-24.7167,23.25,82,17,5.5,CV,1696297359
251,sault ste. marie,46.5168,-84.3333,19.31,89,0,1.03,CA,1696297360
252,norilsk,69.3535,88.2027,0.79,96,100,6.89,RU,1696297360
253,plastun,44.7561,136.2939,13.38,66,0,2.24,RU,1696297360
254,borogontsy,62.6683,131.1683,7.38,87,100,2.24,RU,1696297360
255,vorgashor,67.5833,63.95,1.1,79,99,7.34,RU,1696297360
256,kapa'a,22.0752,-159.319,28.99,77,0,4.63,US,1696297272
257,paita,-5.0892,-81.1144,19.98,81,74,7.01,PE,1696297360
258,keflavik,64.0049,-22.5624,6.24,81,75,6.69,IS,1696297360
259,berezivka,47.2043,30.9078,10.11,63,2,3.28,UA,1696297360
260,christchurch,-43.5333,172.6333,13.56,55,20,4.12,NZ,1696297196
261,daman,20.4167,72.85,25.42,83,63,2.91,IN,1696297361
262,santa ana,33.7456,-117.8678,22.01,66,20,4.63,US,1696297361
263,kuta,-8.7233,115.1723,28.89,79,40,2.24,ID,1696297361
264,ponnani,10.767,75.9252,23.62,91,31,2.1,IN,1696297361
